puma_group,h_size_0_1,h_size_2,h_size_3,h_size_4_plus,h_size_3_plus,h_income_0_24999,h_income_25000_49999,h_income_50000_74999,h_income_75000_99999,h_income_100000_199999,h_income_200000_plus,h_workers_0,h_workers_1,h_workers_2,h_workers_3_plus,h_workers_2_plus,h_vehicles_none,h_vehicles_insuff,h_vehicles_suff,h_kids_0,h_kids_1_plus,h_puma_00101,h_puma_00111,h_puma_00112,h_puma_00113,h_puma_00114,h_puma_00115,h_puma_00116,h_puma_00117,h_puma_00118,h_puma_00119,h_puma_00120,h_puma_00121,h_puma_00122,h_puma_00123,h_puma_01301,h_puma_01305,h_puma_01308,h_puma_01309,h_puma_01310,h_puma_01311,h_puma_01312,h_puma_01313,h_puma_01314,h_puma_04103,h_puma_04104,h_puma_05500,h_puma_07507,h_puma_07508,h_puma_07509,h_puma_07510,h_puma_07511,h_puma_07512,h_puma_07513,h_puma_07514,h_puma_08101,h_puma_08102,h_puma_08103,h_puma_08104,h_puma_08105,h_puma_08106,h_puma_08505,h_puma_08506,h_puma_08507,h_puma_08508,h_puma_08510,h_puma_08511,h_puma_08512,h_puma_08515,h_puma_08516,h_puma_08517,h_puma_08518,h_puma_08519,h_puma_08520,h_puma_08521,h_puma_08522,h_puma_09501,h_puma_09502,h_puma_09503,h_puma_09702,h_puma_09704,h_puma_09705,h_puma_09706,h_total,p_gender_female,p_gender_male,p_age_0_4,p_age_5_15,p_age_16_17,p_age_18_24,p_age_25_44,p_age_45_64,p_age_65_plus,p_employment_full_time,p_employment_nonworker,p_employment_part_time,p_commutemode_bike,p_commutemode_home,p_commutemode_none,p_commutemode_other,p_commutemode_transit,p_commutemode_walk,p_univstudent_no,p_univstudent_yes,p_edulevel_no_college,p_edulevel_some_college,p_race_afam,p_race_asian_pacific,p_race_other,p_race_white,p_ethnicity_hispanic,p_ethnicity_not_hispanic,p_total,p_made_none,p_made_mandatory,p_made_nonmand,p_made_na
1,145793,169153.5,92781,125603.323304473,0,69149.9833333333,58630.1404761905,61636.5952380952,52232.1514069264,150651.615945166,141030.336904762,105177.466666667,200009.38452381,174646.095454545,53497.8766594517,0,64900.8583333333,154004.862518038,314425.102453102,379422.710389611,153908.112914863,58970.4833333333,55773.7380952381,50353.4071428572,39710.5988095238,72492.1722943723,36142.2793650794,31259.4011904762,35228.5047619048,43875.7928571429,0,0,41103.5531746032,28948.0339466089,39472.8583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533330.823304473,690157.321464647,667981.678535354,67776.4595238095,155490.730627706,32388.7777777778,100174.705339105,437855.909018759,339987.963311688,224464.454401154,586588.336075036,624482.790079365,147067.873845599,13806.6583333333,143294.819444444,648874.211904762,466784.762481963,66360.404978355,19018.1428571429,1257780.27821068,100358.721789322,575954.40945166,782184.590548341,140538.233333333,466135.941666667,385511.913095238,365952.911904762,338444.215476191,1019694.78452381,1358139,139765.799541147,344485.759954001,618231.472575559,255655.967929293
2,15814,25635,15589.3333333333,24661.4833333333,0,5669.81666666667,4996.83333333333,4795.93333333333,6414.05952380952,24514.5190476191,35308.6547619048,14829.9,29729.7333333333,29918.5357142857,7221.64761904762,0,3370,17071.9047619048,61257.9119047619,47769.5714285714,33930.2452380952,0,0,0,0,0,0,0,0,0,42380.1880952381,39319.6285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81699.8166666667,112932.661904762,111896.338095238,13475.05,36323.7714285714,8038.06666666667,10409.6071428571,62591.1214285714,61394.8404761905,32596.5428571429,93215.2095238095,111274.388095238,20339.4023809524,0,25009.8452380952,112671.621428571,87147.5333333333,0,0,213318.752380952,11510.2476190476,85100.2523809524,139728.747619048,5750,84231.2333333334,45152.8095238095,89694.9571428571,32734.2666666667,192094.733333333,224829,21050.3488190382,47827.3331516137,98114.42993411,57836.8880952381
3,91492,137536.5,76108,113448.69484127,0,37485.2595238095,44410.8571428571,51760.0765873016,40973.2285714286,130080.232539683,113875.540476191,90908.6166666667,146372.152777778,133946.661111111,47357.7642857143,0,20636.6523809524,101561.847619048,296386.69484127,281941.48452381,136643.71031746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47588.8666666667,50199.696031746,39538.9753968254,42293.7388888889,50932.4936507937,44059.3301587302,39195.2583333333,72064.3476190476,32712.4880952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418585.19484127,590312.879761905,551276.120238095,57698.0349206349,157247.426984127,31997.0734126984,84917.5678571429,297119.272619048,307690.609126984,204919.015079365,441807.413888889,567249.224206349,132532.361904762,2053.31666666667,98653.5261904762,585425.273015873,410471.731349206,35530.9583333333,9454.19444444444,1071238.31031746,70350.6896825397,504837.165079365,636751.834920635,90022.8166666667,232649.630952381,371187.574206349,447728.978174603,321943.040476191,819645.95952381,1141589,108761.057693769,274612.490852382,511272.916136388,246942.53531746
11,40391,56415,0,0,58177.6428571429,16067.925,14899.4,19764.8083333333,13285.3404761905,41667.6357142857,49298.5333333333,39524.4547619048,58508.9166666667,0,0,56950.2714285714,6561.31666666667,27270.4130952381,121151.913095238,111089.121428571,43894.5214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40462.7642857143,62679.2845238095,51841.5940476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154983.642857143,192022.866666667,184229.133333333,15753.855952381,46878.5130952381,10484.5880952381,25386.2071428571,80928.0488095238,105951.036904762,90869.75,139062.007142857,186672.480952381,50517.5119047619,0,41324.3761904762,191038.430952381,143889.192857143,0,0,356228.952380952,20023.0476190476,146299.532142857,229952.467857143,0,0,136105.807142857,240146.192857143,94925.9619047619,281326.038095238,376252,36884.1712576769,91966.8650927729,174284.006506693,73116.9571428571
5,28312,30589.5,11563.3333333333,18809.0735042735,0,11370.3,7751.33333333333,7070.26666666667,8682.025,22784.571031746,31615.4108058608,17757.6833333333,35658.3666666667,27525.8103174603,8332.04652014652,0,21805.525,33388.4388888889,34079.9429487179,67663.475,21610.4318376068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31602.6485042735,0,0,0,57671.2583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89273.9068376068,104261.740628816,110480.259371184,8100.08174603175,21796.3351037851,5215.24166666667,10875.375,75747.5874847375,56356.3162087912,36651.0627899878,98773.697954823,94366.4524420025,21601.8496031746,6283.04166666667,28116.5166666667,96029.9191086691,55057.7432234432,24373.1126678877,4881.66666666667,203651.790384615,11090.2096153846,81593.1648046398,133148.83519536,12516.6166666667,73603.0416666667,47692.075,80930.2666666667,42722.2011904762,172019.798809524,214742,22493.8958818361,51729.6371805747,105406.808421106,35111.6585164835
7,14372,14550,6604.33333333333,5937.78333333333,0,3760.35,4227.33333333333,3991.08333333333,3460.66666666667,11656.35,14368.3333333333,9082.93333333333,16134.1,12920.0333333333,3327.05,0,9005.85,14589.1333333333,17869.1333333333,33332.4166666667,8131.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41464.1166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41464.1166666667,44829.0333333333,44288.9666666667,4517.78333333333,6061.63333333333,2250.01666666667,4659.45,32997.8833333333,23500.7333333333,15130.5,44796.9666666667,35856.2333333333,8464.8,2765.2,16815.7166666667,36659.4,22642.6833333333,7583.33333333333,2651.66666666667,84600.7166666667,4517.28333333333,23110.15,66007.85,2075,24335.9166666667,14963.5666666667,47743.5166666667,9978.18333333333,79139.8166666667,89118,8528.2708236385,23210.4037213807,44549.8921216475,12829.4333333333
4,84029,50869.5,14010,12179.45,0,26899.5833333333,18586.7333333333,15434.9166666667,14674.3666666667,33018.85,52473.5,36132.3166666667,74465.85,42804.2,7685.58333333334,0,72979.0833333333,39711.6166666667,48397.25,144313.733333333,16774.2166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57164.5333333333,52733.75,0,0,0,51189.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161087.95,135063.55,147763.45,8239.38333333333,13961.75,2869.08333333333,20337.6,128793.983333333,60634.55,47990.65,156968.366666667,95309.6,30549.0333333333,5984.53333333333,44698.2166666667,99132.3666666667,50799.9166666667,48927.8833333333,33284.0833333333,269409.983333333,13417.0166666667,80987.2333333333,201839.766666667,11411.3333333333,100130.75,54274.3166666667,117010.6,44053.8333333333,238773.166666667,282827,21450.3226076852,66099.3591676433,170207.101558005,25070.2166666667
6,20168,23837.5,14089,17489.5387445887,0,9371.5,7526.38333333333,7375.55,5343.46666666667,21496.9696969697,24470.1690476191,18898.6333333333,24631.0333333333,23510.1083333333,8544.26374458875,0,10442.6166666667,32263.1720779221,32878.25,55940.1190476191,19643.9196969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38485.4555555556,37098.5831890332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75584.0387445888,101392.159487735,90264.8405122655,8704.58106060606,18857.1893939394,4528.48333333333,12121.4128066378,51086.7588023088,52081.7134920635,44276.8611111111,81495.1215367965,88537.1053751804,21624.7730880231,2270.96904761905,20039.9992063492,90941.2998196248,53346.1598484849,20513.6523809524,4544.9196969697,179649.001731602,12007.9982683983,69731.6093434343,121925.390656566,5848.41666666667,90132.0892857143,36981.225,58695.2690476191,28692.1440476191,162964.855952381,191657,22970.4283553717,39973.2882700541,96623.0295866954,32090.2537878788
8,68813,89403,0,0,115133.773340548,22523.7023809524,23703.3333333333,24571.2523809524,23425.7119047619,75458.4052308802,103667.368109668,54282.4333333333,97106.3333333333,0,0,121961.006673882,12850.3119047619,69902.7357864358,190596.725649351,191801.830952381,81547.9423881674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48241.0869047619,42474.9946969697,42844.625,49805.119047619,50943.4603174603,39040.4873737374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273349.773340548,360629.68982684,353656.31017316,34631.0437229437,84361.9404040404,18446.2007936508,46322.3691558442,204360.915656566,195798.336760462,130365.193506494,312741.706385281,328270.06984127,73274.2237734488,0,72000.8766594517,337242.317460318,305042.805880231,0,0,668184.886868687,46101.1131313131,279982.884271284,434303.115728716,13238.780952381,238850.557142857,195561.143939394,266635.517965368,177077.523809524,537208.476190476,714286,75558.4571656546,178220.09482007,323068.263093641,137439.184920635
9,153822,217584,125099.666666667,183827.706030081,0,54156.8476190476,57041.680952381,56601.8833333333,57919.6533577534,189309.938023088,265303.369411144,115184.789285714,242833.233333333,242055.644230769,80259.7058469308,0,38660.1,186019.952239427,455653.320457321,465865.575793651,214467.796903097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30960.3271284271,39865.1432539683,53668.5690476191,52789.1501831502,55411.2476190476,39444.7976190476,40134.1043650794,37514.7940476191,61619.5382783883,51041.7261904762,34537.4012265512,67243.5261904762,32222.5277777778,35888.4281024531,47992.0916666667,0,0,0,0,0,0,0,680333.372696748,916110.570632146,920412.429367854,91318.5491425242,230069.344893995,46957.252997003,139359.372158397,567544.025341326,478441.038292263,282833.417174492,812277.225344101,829612.09539072,194633.679265179,13637.95,161268.266955267,861094.041136641,757547.081407482,27408.7184371184,15566.9420634921,1706261.44520202,130261.55479798,742530.123609724,1093992.87639028,41148.4857142857,773102.870238095,495037.153968254,527234.490079365,459548.467063492,1376974.53293651,1836523,169503.21425404,450874.467413329,847800.171299109,368345.147033522
10,38242,50755.5,30582,42401.0767676768,0,19461.0166666667,20269.8333333333,21297.1976190476,20792.0984126984,54282.3356060606,25878.0951298701,40553.0666666667,55969.4511904762,0,0,65458.0589105339,8419.69047619048,32829.2807359307,120731.605555556,109057.35,52923.2267676768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57230.1369047619,52254.6367965368,52495.8030663781,0,0,0,0,161980.576767677,224816.769733045,213905.230266955,24405.3000721501,57055.3936147186,12001.9637806638,33630.5994949495,121934.36489899,108807.11038961,80887.2677489178,170785.738383838,222115.679978355,45820.5816378066,0,21683.1729076479,229861.60974026,187177.217352092,0,0,410494.312012987,28227.687987013,220176.129148629,218545.870851371,52320.1607142857,82739.2880952381,136253.95,167408.601190476,133422.164285714,305299.835714286,438722,49921.375917503,99054.8766009367,196283.090014028,93462.6574675325
12,54071,68474,0,0,69981.5,21250.625,19986.4880952381,27839.5416666667,25362.4333333333,60544.6547619048,37542.7571428571,47648.8916666667,65503.5714285714,0,0,79374.0369047619,8799.75,33019.1734126984,150707.576587302,140986.788888889,51539.7111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49853.5361111111,48993.2011904762,36183.9781746032,57495.7845238095,192526.5,244976.166269841,225950.833730159,21748.3313492064,54724.0448412699,10585.2583333333,31074.5238095238,123570.851587302,121422.684126984,107801.305952381,181929.10952381,218479.187698413,70518.7027777778,0,37438.1087301587,225126.282142857,208362.609126984,0,0,445071.35952381,25855.6404761905,217030.883730159,253896.116269841,0,0,183885.773809524,287041.226190476,141281.023412698,329645.976587302,470927,49937.2742906686,114520.058561558,219412.032623964,87057.6345238095
